Unnamed: 0,name,company,year,Price,kms_driven,fuel_type
90,Wagon R LXI LPG BSIV,Maruti,2010,225000,44000,LPG
91,Polo 1.2 MPI Comfortline,Volkswagen,2015,455000,42000,Petrol
92,i10 Magna 1.1L,Hyundai,2015,351000,45000,Petrol
93,Vento Petrol Highline,Volkswagen,2012,535000,12000,Petrol
94,Zen Estilo LXI BSIII,Maruti,2009,175000,55500,Petrol
95,i20 Asta Optional with Sunroof 1.2,Hyundai,2013,525000,61500,Petrol
96,Swift Dzire LDI,Maruti,2016,600000,150000,Diesel
97,Xcent 1.2 Kappa SX Option AT,Hyundai,2016,565000,72000,Petrol
98,Alto LX BSIII,Maruti,2008,120000,68000,Petrol
99,i20 1.4 Asta Option,Hyundai,2017,725000,110000,Diesel
100,Wagon R VXI,Maruti,2009,185000,77000,Petrol
101,Manza Aura (ABS) Quadrajet,Tata,2010,200000,100000,Diesel
102,Swift VXI,Maruti,2019,615000,10000,Petrol
103,Eeco 7 Seater Standard BSIV,Maruti,2016,270000,100000,Petrol
104,Baleno Zeta 1.2,Maruti,2018,610000,35000,Petrol
105,Scorpio VLX AT AIRBAG BSIV,Mahindra,2014,625000,70000,Diesel
106,Freestyle Titanium Petrol BSIV,Ford,2020,400000,5000,Petrol
107,Verna VTVT 1.6 SX,Hyundai,2017,866000,37800,Petrol
108,Passat 1.8 TSI MT,Volkswagen,2010,700000,114000,Petrol
109,Indica Vista Aura 1.2 Safire (ABS) BS IV,Tata,2010,300000,48000,Petrol
110,XUV500 W11 Option AWD,Mahindra,2019,1700000,32000,Diesel
111,Indigo CS LS (TDI) BS-III,Tata,2016,375000,100000,Diesel
112,Verna 1.6 SX,Hyundai,2013,522000,150000,Diesel
113,i20 Magna 1.4 CRDi (Diesel),Hyundai,2013,451999,69000,Diesel
114,Corolla Altis G,Toyota,2009,300000,100000,Petrol
115,Celerio VXI,Maruti,2020,475000,13000,Petrol
116,Vitara Brezza ZDi Plus Dual Tone,Maruti,2016,780000,60000,Diesel
117,Swift Dzire VXI,Maruti,2017,595000,40000,Petrol
118,Wagon R VXI BS IV,Maruti,2017,440000,35000,Petrol
119,Swift VDI BSIV,Maruti,2010,300000,120000,Diesel
120,Terrano XL 85 PS,Nissan,2014,400000,70000,Diesel
121,Creta 1.6 CRDi SX,Hyundai,2016,1140000,50000,Diesel
122,EcoSport 1.5 Diesel Titanium Plus BSIV,Ford,2017,850000,76139,Diesel
123,Swift Dzire VDi,Maruti,2012,370000,175000,Diesel
124,KWID 1.0,Renault,2018,350000,25000,Petrol
125,Celerio VXI,Maruti,2015,360000,40000,Petrol
126,Alto LXi,Maruti,2008,105000,65000,Petrol
127,Ertiga VDI,Maruti,2013,625000,90000,Diesel
128,Santro Xing GLS,Hyundai,2009,135000,80000,Petrol
129,Ertiga VDI,Maruti,2015,700000,110000,Diesel
130,Amaze S i-VTEC,Honda,2019,690000,1303,Petrol
131,Q5 35TDI Premium Plus,Audi,2018,3975000,31800,Diesel
132,ES 300h,Lexus,2019,5150000,20000,Petrol
133,XF 2.0 Diesel Portfolio,Jaguar,2017,3200000,45000,Diesel
134,Wrangler 2016-2019 3.6 4X4,Jeep,2017,4100000,17000,Petrol
135,Rover Discovery Sport TD4 SE,Land,2019,4500000,21000,Diesel
136,S-Class S 350 CDI,Mercedes-Benz,2017,6000000,37000,Diesel
137,5 Series 520d Sport Line,BMW,2018,3790000,29500,Diesel
138,X1 sDrive 20D xLine,BMW,2017,2150000,27000,Diesel
139,X4 M Sport X xDrive20d,BMW,2019,5800000,7500,Diesel
140,Superb LK 1.8 TSI AT,Skoda,2018,1864999,50000,Petrol
141,E-Class E250 Edition E,Mercedes-Benz,2016,2700000,35000,Diesel
142,Hector Sharp AT BSIV,MG,2019,1750000,19000,Petrol
143,City i-VTEC CVT VX,Honda,2017,795000,41000,Petrol
144,Corolla Altis 1.8 G CVT,Toyota,2013,625000,39000,Petrol
145,XC40 D4 R-Design,Volvo,2018,3400000,22000,Diesel
146,Q7 35 TDI Quattro Premium,Audi,2015,2650000,53000,Diesel
147,Ciaz ZDi,Maruti,2015,535000,40000,Diesel
148,S-Class S 350 CDI,Mercedes-Benz,2017,5850000,47000,Diesel
149,5 Series 523i,BMW,2010,975000,72200,Petrol
150,Elantra S,Hyundai,2016,805000,49900,Petrol
151,XE 2016-2019 2.0L Diesel Prestige,Jaguar,2017,2625000,9000,Diesel
152,Nexon 1.2 Revotron XZ Plus Dual Tone,Tata,2018,811000,11000,Petrol
153,Vento Petrol Highline,Volkswagen,2011,375000,49000,Petrol
154,Elantra SX,Hyundai,2012,550000,95000,Petrol
155,Rapid 1.6 MPI AT Elegance,Skoda,2016,645000,11000,Petrol
156,CLA 200 CGI Sport,Mercedes-Benz,2018,2550000,18000,Petrol
157,Ertiga ZXI,Maruti,2014,599000,46100,Petrol
158,New C-Class C 200 AVANTGARDE,Mercedes-Benz,2017,2700000,16000,Petrol
159,City V AT,Honda,2017,875000,18000,Petrol
160,Glanza V CVT,Toyota,2019,894999,9654,Petrol
161,Alto K10 VXI,Maruti,2011,175000,11000,Petrol
162,Swift VXI,Maruti,2012,340000,24300,Petrol
163,Innova Crysta 2.8 ZX AT BSIV,Toyota,2016,1525000,42163,Diesel
164,Nexon 1.5 Revotorq XZA Plus DualTone,Tata,2018,1025000,8000,Diesel
165,3 Series 320d Luxury Line,BMW,2016,2150000,30000,Diesel
166,Camry 2.5 Hybrid,Toyota,2016,1900000,41000,Petrol
167,5 Series 520d Luxury Line,BMW,2016,2900000,12000,Diesel
168,Camry W4 (AT),Toyota,2009,450000,71000,Petrol
169,Ertiga BSIV ZXI Plus,Maruti,2016,850000,20000,Petrol
170,XC90 T8 Excellence BSIV,Volvo,2017,10000000,30000,Petrol
171,Vento Diesel Highline,Volkswagen,2011,300000,100000,Diesel
172,Figo Aspire 1.2 Ti-VCT Trend,Ford,2018,575000,9500,Petrol
173,Figo Diesel LXI,Ford,2011,160000,120000,Diesel
174,Swift VXI Optional,Maruti,2015,515000,36600,Petrol
175,Wagon R AMT VXI,Maruti,2015,390000,50000,Petrol
176,i20 Magna 1.2,Hyundai,2016,550000,14000,Petrol
177,800 Std,Maruti,1999,40000,40000,Petrol
178,Ritz VDi,Maruti,2010,220000,120000,Diesel
179,Grand i10 Magna,Hyundai,2015,425000,70000,Petrol
180,Ameo 1.0 MPI Trendline,Volkswagen,2019,480000,13000,Petrol
181,Grand i10 Sportz,Hyundai,2014,400000,60000,Petrol
182,Swift Dzire VXI,Maruti,2014,487000,35000,Petrol
183,Xcent 1.2 Kappa S,Hyundai,2016,386000,44000,Petrol
184,City 1.5 EXI,Honda,2005,100000,120000,Petrol
185,Corolla Altis Diesel D4DG,Toyota,2010,300000,60000,Diesel
186,Matiz SD,Daewoo,2000,100000,60000,Petrol
187,Fortuner 4x2 Manual,Toyota,2014,1750000,30000,Diesel
188,KUV 100 mFALCON G80 K8,Mahindra,2016,450000,15000,Petrol
189,Zest Quadrajet 1.3 75PS XM,Tata,2017,490000,90000,Diesel
190,City 1.5 S MT,Honda,2009,345000,47000,Petrol
191,Zen LXI,Maruti,2005,85000,90000,Petrol
192,Wagon R VXI BS IV with ABS,Maruti,2010,215000,120600,Petrol
193,Verna Transform SX VTVT,Hyundai,2010,320000,100000,Petrol
194,Swift Dzire VXI,Maruti,2016,459999,60000,Petrol
195,Getz GLS,Hyundai,2005,65000,86000,Petrol
196,Elite i20 Sportz Plus BSIV,Hyundai,2020,720000,5000,Petrol
197,Ciaz 1.3 Alpha,Maruti,2017,800000,37000,Diesel
198,Tigor 1.2 Revotron XZ,Tata,2019,520000,14000,Petrol
199,Ertiga VDI,Maruti,2015,580000,70000,Diesel
200,Etios GD,Toyota,2012,235000,120000,Diesel
201,City i VTEC S,Honda,2015,600000,50000,Petrol
202,Brio S MT,Honda,2014,290000,60000,Petrol
203,Wagon R LXI CNG,Maruti,2016,360000,50000,CNG
204,Swift Dzire VXI,Maruti,2017,550000,50000,Petrol
205,i20 Sportz 1.2,Hyundai,2013,375000,70000,Petrol
206,Omni E 8 Str STD,Maruti,2003,40000,90000,Petrol
207,Wagon R AMT VXI,Maruti,2018,420000,35000,Petrol
208,Swift Dzire VXI 1.2,Maruti,2017,550000,20000,Petrol
209,Alto 800 LXI,Maruti,2018,270000,20000,Petrol
210,Swift Dzire AMT VXI BS IV,Maruti,2018,700000,7800,Petrol
211,Swift VXI Optional,Maruti,2017,500000,20000,Petrol
212,Hexa XE,Tata,2019,1250000,15000,Diesel
213,i20 Magna,Hyundai,2013,320000,31377,Petrol
214,Swift Dzire VDI,Maruti,2018,700000,50000,Diesel
215,Wagon R VXI BS IV,Maruti,2015,290000,60000,Petrol
216,Corolla Altis 1.8 VL AT,Toyota,2012,550000,100000,Petrol
217,Brio S MT,Honda,2012,265000,60000,Petrol
218,Baleno Alpha Automatic,Maruti,2018,830000,5000,Petrol
219,Safari Storme EX,Tata,2017,800000,60000,Diesel
220,Alto LXi,Maruti,2011,160000,25000,Petrol
221,KWID RXT,Renault,2018,335000,30000,Petrol
222,GO T BSIV,Datsun,2017,329000,80000,Petrol
223,Vitara Brezza VDi Option,Maruti,2017,775000,75000,Diesel
224,Xcent 1.2 VTVT SX,Hyundai,2020,524000,32000,Petrol
225,Alto 800 LXI,Maruti,2015,245000,40000,Petrol
226,i20 1.2 Sportz,Hyundai,2012,275000,93000,Petrol
227,Zest Revotron 1.2 XT,Tata,2018,520000,60000,Petrol
228,Swift 1.3 VXi,Maruti,2008,130000,120000,Petrol
229,Sunny XL,Nissan,2014,550000,37000,Petrol
230,EcoSport 1.5 Petrol Titanium Plus BSIV,Ford,2018,910000,15000,Petrol
231,Micra Active XV S,Nissan,2015,300000,80000,Petrol
232,Wagon R LXI Optional,Maruti,2016,350000,140000,Petrol
233,Ssangyong Rexton RX5,Mahindra,2013,900000,70000,Diesel
234,Quanto C8,Mahindra,2013,300000,120000,Diesel
235,Ritz LDi,Maruti,2010,250000,110000,Diesel
236,Creta 1.6 CRDi SX Plus Dual Tone,Hyundai,2017,1100000,37000,Diesel
237,KWID RXT,Renault,2016,270000,44000,Petrol
238,Ertiga VDI,Maruti,2015,640000,80000,Diesel
239,XUV500 W4,Mahindra,2015,650000,125000,Diesel
240,Eeco 5 Seater AC BSIV,Maruti,2017,409999,13500,Petrol
241,Santro Xing GLS,Hyundai,2011,165000,75000,Petrol
242,Accent GLE,Hyundai,2007,80000,120000,Petrol
243,XUV500 W8 2WD,Mahindra,2012,535000,120000,Diesel
244,Innova 2.5 EV (Diesel) PS 7 Seater BS IV,Toyota,2013,700000,70000,Diesel
245,Swift Dzire VDI,Maruti,2013,550000,70000,Diesel
246,Amaze S CVT Petrol BSIV,Honda,2019,680000,15000,Petrol
247,i10 Sportz 1.2,Hyundai,2009,200000,53000,Petrol
248,Swift Dzire VDI,Maruti,2014,500000,120000,Diesel
249,Ertiga SHVS ZDI Plus,Maruti,2016,1000000,70000,Diesel
250,Getz 1.3 GVS,Hyundai,2008,110000,120000,Petrol
251,i20 1.2 Magna,Hyundai,2012,320000,100000,Petrol
252,Indica DLS,Tata,2005,75000,110000,Diesel
253,Swift LXI Optional-O,Maruti,2015,350000,100000,Petrol
254,Indica Vista TDI LS,Tata,2013,170000,162500,Diesel
255,i20 2015-2017 Asta 1.4 CRDi,Hyundai,2017,800000,39000,Diesel
256,Ignis 1.3 Alpha,Maruti,2017,500000,75000,Diesel
257,Hexa XTA,Tata,2017,1380000,50000,Diesel
258,Marazzo M6 8Str,Mahindra,2019,1300000,40000,Diesel
259,Verna 1.6 CRDI,Hyundai,2013,530000,92500,Diesel
260,Swift Dzire VDI,Maruti,2012,360000,158000,Diesel
261,Swift Dzire LDi,Maruti,2012,310000,120000,Diesel
262,City i DTEC V,Honda,2015,725000,50000,Diesel
263,Swift Dzire ZDi,Maruti,2012,340000,110000,Diesel
264,Xcent 1.2 CRDi E,Hyundai,2017,550000,2000,Diesel
265,Fortuner 3.0 Diesel,Toyota,2011,1150000,181000,Diesel
266,Tiago 1.05 Revotorq XZ,Tata,2016,380000,70000,Diesel
267,Sunny XL AT Special Edition,Nissan,2013,350000,90000,Petrol
268,Elite i20 Magna Plus BSIV,Hyundai,2019,610000,2000,Petrol
269,Swift Dzire VXI,Maruti,2015,525000,20000,Petrol
270,Innova 2.5 GX 7 STR,Toyota,2011,480000,120000,Diesel
271,Thar CRDe,Mahindra,2017,780000,35000,Diesel
272,Swift Dzire ZDi,Maruti,2012,320000,193000,Diesel
273,Swift 1.2 DLX (Only Delhi),Maruti,2014,375000,80000,Petrol
274,GO D Petrol,Datsun,2019,300000,40000,Petrol
275,i20 Asta 1.4 CRDi,Hyundai,2015,500000,70000,Diesel
276,Scorpio LX,Mahindra,2011,404000,122358,Diesel
277,Sumo Gold EX BSIII,Tata,2015,500000,75000,Diesel
278,Tiago Wizz 1.05 Revotorq,Tata,2017,350000,120000,Diesel
279,Zest Revotron 1.2 XT,Tata,2015,380000,40000,Petrol
280,Accent GLE,Hyundai,2008,114999,95200,Petrol
281,Brio Exclusive Edition,Honda,2014,335000,33033,Petrol
282,Grand i10 AT Asta,Hyundai,2015,465000,63063,Petrol
283,Manza Club Class Quadrajet90 LX,Tata,2012,290000,60000,Diesel
284,Alto LX,Maruti,2005,110000,45000,Petrol
285,New Safari DICOR 2.2 EX 4x2,Tata,2011,450000,80000,Diesel
286,Bolero SLE,Mahindra,2009,400000,170000,Diesel
287,Bolero DI DX 7 Seater,Mahindra,2007,210000,207890,Diesel
288,GL-Class 220d 4MATIC Sport,Mercedes-Benz,2018,4600000,7976,Diesel
289,Omni E MPI STD BS IV,Maruti,2016,220000,35000,Petrol
290,Grand i10 Sportz,Hyundai,2017,450000,35000,Petrol
291,Grand i10 Sportz,Hyundai,2017,450000,35000,Petrol
292,i10 Sportz AT,Hyundai,2013,290000,50000,Petrol
293,Swift VXI Deca,Maruti,2016,520000,20000,Petrol
294,i10 Sportz AT,Hyundai,2011,265000,20000,Petrol
295,Swift VXI,Maruti,2012,330000,50000,Petrol
296,Swift VXI,Maruti,2012,330000,50000,Petrol
297,Bolero 2011-2019 ZLX,Mahindra,2014,509999,120000,Diesel
298,Verna 1.6 SX VTVT (O),Hyundai,2014,500000,70000,Petrol
299,i20 Active 1.2,Hyundai,2015,525000,50000,Petrol
300,Baleno Zeta,Maruti,2019,675000,16500,Petrol
301,i20 1.2 Asta,Hyundai,2010,300000,70000,Petrol
302,Alto LXI,Maruti,2005,90000,99361,Petrol
303,Swift Dzire VDI,Maruti,2017,650000,25000,Diesel
304,Swift Dzire VXI,Maruti,2014,409000,70000,Petrol
305,Grand i10 CRDi Sportz,Hyundai,2015,395000,80000,Diesel
306,Swift 1.3 VXi,Maruti,2010,215000,70000,Petrol
307,Swift Dzire VXI,Maruti,2014,400000,70000,Petrol
308,Beat LS,Chevrolet,2012,120000,60000,Petrol
309,Tigor 1.2 Revotron XZA,Tata,2018,645000,10000,Petrol
310,800 Std,Maruti,2006,81000,80000,Petrol
311,City i-DTEC VX,Honda,2017,1300000,30000,Diesel
312,City i-DTEC VX,Honda,2017,1250000,33000,Diesel
313,Ertiga VXI,Maruti,2013,535000,90000,Petrol
314,Terrano XV Premium 110 PS,Nissan,2014,555000,80100,Diesel
315,City i VTEC VX,Honda,2014,725000,120000,Petrol
316,Willys CJ 3B 4X4,Mahindra,1983,300000,10000,Diesel
317,KWID RXL,Renault,2016,229999,40000,Petrol
318,Innova 2.5 GX (Diesel) 8 Seater,Toyota,2013,800000,160000,Diesel
319,Wagon R VXI BS IV,Maruti,2017,409999,47000,Petrol
320,Creta 1.4 CRDi S Plus,Hyundai,2018,1210000,25000,Diesel
321,Tiago 1.2 Revotron XZ,Tata,2017,400000,26000,Petrol
322,Grand i10 1.2 CRDi Sportz,Hyundai,2018,520000,29000,Diesel
323,Baleno Zeta Automatic,Maruti,2016,650000,50000,Petrol
324,Swift ZXI ABS,Maruti,2011,325000,58000,Petrol
325,Swift Dzire VXi AT,Maruti,2012,420000,120000,Petrol
326,Swift LXI Option,Maruti,2014,400000,50000,Petrol
327,i20 1.2 Asta,Hyundai,2010,254999,80000,Petrol
328,Zen LXI,Maruti,2003,65000,60000,Petrol
329,Celerio LXI,Maruti,2017,351000,36000,Petrol
330,Innova 2.5 V Diesel 8-seater,Toyota,2007,404000,120000,Diesel
331,Ritz LDi,Maruti,2011,185000,185000,Diesel
332,Micra Diesel XV,Nissan,2011,250000,50000,Diesel
333,Zen LXI,Maruti,2002,60000,100000,Petrol
334,Verna 1.6 SX VTVT (O),Hyundai,2013,500000,50000,Petrol
335,Zen Estilo LXI BSIII,Maruti,2007,85000,80000,Petrol
336,Santro Xing XL,Hyundai,2005,85000,60000,Petrol
337,Alto LX,Maruti,2005,85000,80000,Petrol
338,Swift Dzire ZDi,Maruti,2011,265000,90000,Diesel
339,A-Star Vxi,Maruti,2010,130000,162000,Petrol
340,Ertiga VDI,Maruti,2013,480000,110000,Diesel
341,Swift Ldi BSIII,Maruti,2008,170000,120000,Diesel
342,Micra Diesel XV,Nissan,2011,275000,45000,Diesel
343,Wagon R LXI,Maruti,2005,89000,90000,Petrol
344,Figo Diesel Titanium,Ford,2010,170000,90000,Diesel
345,XUV300 W8 Option BSIV,Mahindra,2019,1090000,16500,Petrol
346,Creta 1.6 CRDi AT SX Plus,Hyundai,2017,1100000,67000,Diesel
347,Swift VXI BSIV,Maruti,2018,610000,52000,Petrol
348,GO T Option BSIV,Datsun,2016,335000,40000,Petrol
349,Grand i10 Asta,Hyundai,2015,434999,40000,Petrol
350,Fortuner 2.8 2WD MT BSIV,Toyota,2018,3000000,35000,Diesel
351,KWID RXL,Renault,2018,390000,13000,Petrol
352,Brio 1.2 VX MT,Honda,2012,325000,40000,Petrol
353,Ameo 1.2 MPI Comfortline Plus,Volkswagen,2019,640000,10000,Petrol
354,Sunny XV Special Edition,Nissan,2012,450000,9000,Petrol
355,Etios Liva GD SP,Toyota,2013,400000,70000,Diesel
356,i10 Sportz,Hyundai,2009,215000,60000,Petrol
357,Duster 85PS Diesel RxL,Renault,2014,570000,40000,Diesel
358,XUV500 W8 2WD,Mahindra,2012,680000,93000,Diesel
359,Innova 2.5 V Diesel 7-seater,Toyota,2008,325000,80000,Diesel
360,Indigo CS eGLX BS IV,Tata,2011,150000,50000,Petrol
361,Elantra SX AT,Hyundai,2013,690000,68000,Petrol
362,New C-Class 220 CDI AT,Mercedes-Benz,2013,1550000,25000,Diesel
363,Nano STD,Tata,2012,64000,18000,Petrol
364,Micra Diesel XL,Nissan,2013,250000,120000,Diesel
365,Wagon R LXI,Maruti,2005,65000,35000,Petrol
366,Swift Dzire VDI,Maruti,2016,550000,60000,Diesel
367,i10 Magna,Hyundai,2010,140000,70000,Petrol
368,KWID RXT,Renault,2016,300000,30000,Petrol
369,GTI 1.8 TSI,Volkswagen,2016,800000,70000,Petrol
370,XE 2016-2019 2.0L Diesel Prestige,Jaguar,2017,2625000,9000,Diesel
371,ES 300h,Lexus,2019,5150000,20000,Petrol
372,XF 2.0 Diesel Portfolio,Jaguar,2017,3200000,45000,Diesel
373,Safari Storme EX,Tata,2015,503000,110000,Diesel
374,XC40 D4 Inscription BSIV,Volvo,2019,3800000,20000,Diesel
375,Camry 2.5 Hybrid,Toyota,2016,2000000,68089,Petrol
376,Wagon R LXI,Maruti,2013,225000,58343,Petrol
377,Baleno Alpha 1.3,Maruti,2018,740000,38817,Diesel
378,Jazz VX,Honda,2016,550000,56494,Petrol
379,Innova 2.5 VX (Diesel) 7 Seater,Toyota,2013,750000,79328,Diesel
380,Swift AMT VVT VXI,Maruti,2019,650000,5621,Petrol
381,Etios VX,Toyota,2017,625000,25538,Petrol
382,Swift AMT ZXI,Maruti,2018,600000,69779,Petrol
383,Grand i10 1.2 CRDi Sportz,Hyundai,2017,450000,56290,Diesel
384,X4 M Sport X xDrive20d,BMW,2019,5400000,7500,Diesel
385,X4 M Sport X xDrive20d,BMW,2019,5500000,8500,Diesel
386,Amaze V CVT Petrol BSIV,Honda,2019,779000,7032,Petrol
387,Rapid 1.6 MPI AT Elegance,Skoda,2016,645000,11000,Petrol
388,V40 D3 R-Design,Volvo,2018,2475000,2000,Diesel
389,i10 Magna,Hyundai,2010,150000,106000,Petrol
390,Etios Liva Diesel TRD Sportivo,Toyota,2012,265000,162000,Diesel
391,CR-V 2.4L 4WD AT,Honda,2009,500000,120000,Petrol
392,Swift Dzire VDI,Maruti,2015,480000,90000,Diesel
393,Verna 1.6 SX CRDi (O),Hyundai,2014,535000,70000,Diesel
394,Innova 2.5 G1 Diesel 8-seater,Toyota,2005,250000,240000,Diesel
395,SX4 Celebration Diesel,Maruti,2012,300000,100000,Diesel
396,Verna XXi ABS (Petrol),Hyundai,2009,340000,214000,Petrol
397,Verna CRDi SX,Hyundai,2009,340000,214000,Diesel
398,Alto 800 VXI,Maruti,2016,240000,50000,Petrol
399,City i-VTEC CVT V,Honda,2018,1085000,1000,Petrol
400,Swift Dzire AMT VDI,Maruti,2017,750000,19000,Diesel
401,Indigo LS,Tata,2012,95000,265000,Diesel
402,Eeco CNG 5 Seater AC,Maruti,2020,409999,35000,CNG
403,Alto K10 VXI,Maruti,2014,215000,80000,Petrol
404,XUV500 AT W10 AWD,Mahindra,2016,1290000,50000,Diesel
405,Alto K10 LXI,Maruti,2010,150000,80000,Petrol
406,EON Sportz,Hyundai,2013,219000,50000,Petrol
407,Tiago 1.2 Revotron XE,Tata,2018,325000,100000,Petrol
